Data Medicao;PRECIPITACAO TOTAL;PRESSAO ATMOSFERICA MEDIA ;TEMPERATURA DO PONTO DE ORVALHO ;TEMPERATURA MEDIA;UMIDADE RELATIVA DO AR;VENTO, VELOCIDADE MEDIA
11/04/2012;0;915,166667;15,975;20,954167;74,583333;1,908333
12/04/2012;1,6;913,579167;16,645833;21,395833;76,041667;1,254167
13/04/2012;0;911,375;16,658333;21,475;75,416667;1,7875
14/04/2012;7,2;909,179167;16,8875;20,879167;78,875;2,329167
15/04/2012;10,8;909,425;13,991667;19,3875;72,125;2,5375
16/04/2012;0;913,729167;12,391667;17,791667;72;2,65
17/04/2012;0;915,4875;11,570833;17,183333;71,166667;1,529167
18/04/2012;0;915,954167;12,329167;17,920833;71,75;1,729167
19/04/2012;0;913,5625;12,145833;17,895833;71,291667;1,370833
20/04/2012;0;910,779167;13,445833;18,279167;74,666667;1,104167
21/04/2012;4,4;909,904167;15,083333;18,120833;82,75;1,1625
22/04/2012;0,2;913,495833;10,833333;16,091667;71,666667;2,195833
23/04/2012;0;913,5875;11,2125;17,220833;69,125;1,6375
24/04/2012;0;912,670833;12,145833;16,1;78,041667;2,2625
25/04/2012;0;911,470833;12,758333;17,45;74,833333;1,854167
26/04/2012;47,8;906,558333;13,829167;15,575;89,291667;2,141667
27/04/2012;40,2;909,016667;11,904167;16,045833;77,416667;1,575
28/04/2012;0;911,129167;12,329167;14,825;85,125;2,216667
29/04/2012;21,6;908,995833;11,970833;16,308333;76,375;2,483333
30/04/2012;0;913,329167;4,4125;11,695833;61,916667;2,3125
01/05/2012;0;915,208696;2,452174;10,83913;57,73913;1,895652
02/05/2012;0;918,083333;8,395833;13,233333;73,416667;2,333333
03/05/2012;0;919,75;10,154167;14,229167;77,083333;1,9625
04/05/2012;2,4;918,941667;12,883333;15,729167;83,375;2,208333
05/05/2012;0,8;917,275;11,2;15,925;75,875;0,858333
06/05/2012;0,2;916,95;11,129167;15,016667;78,958333;1,308333
07/05/2012;0;919,425;12,008333;15,483333;80,208333;1,9
08/05/2012;0;919,429167;11,916667;16,716667;74,333333;1,783333
09/05/2012;0,2;915,0875;10,620833;15,370833;75,291667;0,920833
10/05/2012;0,2;911,0125;10,775;16,891667;70,666667;1,504167
11/05/2012;0;910,154167;11,008333;16,7375;70,375;1,666667
12/05/2012;12,6;907,795833;12,975;17,433333;75,791667;2,558333
13/05/2012;0;911,491667;11,85;15,454167;79,625;2,025
14/05/2012;0;915,341667;9,404167;13,0125;78,833333;2,420833
15/05/2012;0,2;917,095833;9,5125;12,616667;81,583333;2,3
16/05/2012;0,4;917,529167;10,429167;13,8;80,625;2,316667
17/05/2012;1,6;917,875;9,720833;13,4375;79,083333;2,3
18/05/2012;0,6;917,495833;9,995833;13,7;79,333333;1,9
19/05/2012;0,4;916,7125;9,808333;13,291667;80,166667;1,545833
20/05/2012;0;916,820833;10,733333;14,95;77,166667;1,241667
21/05/2012;0;917,966667;11,158333;14,758333;80,041667;1
22/05/2012;0;916,954167;10,825;15,5;75,416667;1,1375
23/05/2012;0;915,904167;10,833333;15,379167;76,75;1,233333
24/05/2012;0,2;913,929167;12,566667;14,729167;87,041667;1,475
25/05/2012;34,8;909,775;13,125;16,108333;83,125;2,120833
26/05/2012;0,2;911,325;11,283333;15,3;78,125;1,870833
27/05/2012;0;912,720833;11,154167;15,683333;76,125;1,008333
28/05/2012;0,2;914,320833;13,495833;18,133333;75,708333;1,158333
29/05/2012;0;914,1625;14,1;18,9625;75,083333;1,25
30/05/2012;0;911,475;14,025;20,0125;69,916667;3,183333
31/05/2012;4,6;914,475;12,391667;14,404167;87,75;1,895833
01/06/2012;17;915,825;12,0625;13,779167;89,416667;1,670833
02/06/2012;1,4;913,945833;12,1;15,929167;79;2,204167
03/06/2012;0;908,686957;13,704348;16,821739;82,086957;3,478261
04/06/2012;14,2;907,229167;14,429167;16,016667;90,333333;1,7625
05/06/2012;95,6;909,86;10,76;null;90,45;1,84
06/06/2012;null;null;null;null;null;null
07/06/2012;null;null;null;null;null;null
08/06/2012;null;null;null;null;null;null
09/06/2012;null;null;null;null;null;null
10/06/2012;null;null;null;null;null;null
11/06/2012;null;null;null;null;36,214286;null
12/06/2012;0;914,56087;4,508696;16,926087;45,73913;1,2
13/06/2012;0,2;915,991667;3,129167;15,520833;45,208333;1,004167
14/06/2012;0;915,570833;6,875;14,845833;61,791667;0,816667
15/06/2012;0,2;914,2875;9,208333;13,841667;74,666667;1,220833
16/06/2012;0,2;912,733333;9,408333;14,8;71,541667;1,233333
17/06/2012;0;913,604167;12,145833;14,233333;87,5;2,0375
18/06/2012;4,8;908,829167;12,666667;14,504167;89;1,9625
19/06/2012;13,8;908,875;13,858333;15,233333;91,625;0,9375
20/06/2012;null;null;null;null;89,647059;null
21/06/2012;null;null;null;null;null;null
22/06/2012;null;null;null;null;65,071429;null
23/06/2012;0,2;918,358333;7,233333;10,916667;78,583333;1,4
24/06/2012;0;918,645833;9,0625;13,445833;75,625;1,2375
25/06/2012;0,2;918,6875;8,2375;12,6;75,666667;1,754167
26/06/2012;0;919,858333;8,333333;13,3;72,458333;1,420833
27/06/2012;0;919,079167;10,375;15,254167;74,458333;1,366667
28/06/2012;0;917,766667;11,283333;16,325;74,708333;1,491667
29/06/2012;0,2;915,420833;11,245833;17,1;70,791667;1,708333
30/06/2012;0;915,008333;9,716667;18,070833;60,375;2,125
01/07/2012;0,2;915,2375;9,954167;16,916667;66,583333;0,9625
02/07/2012;0;915,3875;8,441667;16,383333;65;0,820833
03/07/2012;0,2;915,5;10,329167;16,608333;68,958333;1,445833
04/07/2012;0;913,254167;10,595833;17,5625;66,583333;1,583333
05/07/2012;0;912,695833;10,016667;17,870833;62,583333;1,783333
06/07/2012;0;910,695833;11,591667;17,5875;69,375;2,866667
07/07/2012;14,2;912,791667;11,583333;13,079167;90,75;2,279167
08/07/2012;18;917,45;6,133333;9,4375;80,833333;2,1125
09/07/2012;null;918,205;7,085;null;76,3;2,355
10/07/2012;0,4;913,429167;10,433333;15,220833;74,541667;2,270833
11/07/2012;0;908,145833;12,170833;15,304167;82;2,191667
12/07/2012;20,8;905,620833;9,095833;12,925;79,041667;2,633333
13/07/2012;null;911,309524;1,07619;null;56,095238;3,485714
14/07/2012;null;916,544444;1,888889;null;52,722222;1,611111
15/07/2012;0;918,713636;5,181818;8,531818;79,681818;1,709091
16/07/2012;0;920,104348;5,452174;7,969565;84,217391;2,534783
17/07/2012;10,8;916,483333;8,591667;10,108333;90,375;2,2375
18/07/2012;null;null;null;null;75,583333;null
19/07/2012;null;null;null;null;61,384615;null
20/07/2012;0,2;914,25;5,636364;11,790909;70,909091;1,2
21/07/2012;null;911,952381;5,22381;null;58;2,447619
22/07/2012;0;914,054167;8,008333;17,195833;56,708333;2,229167
23/07/2012;0;915,4875;10,633333;16,75;69,166667;1,804167
24/07/2012;0;913,991667;11,554167;19,25;63,625;2,558333
25/07/2012;0;913,083333;11,025;14,416667;81,291667;2,704167
26/07/2012;3,2;912,508333;12,7625;16,8;78,875;1,9625
27/07/2012;1,2;914,295833;12,533333;14,679167;87,208333;1,675
28/07/2012;9,8;914,8375;11,308333;14,695833;81,375;1,775
29/07/2012;0,2;912,391667;11,720833;18,208333;68,666667;1,479167
30/07/2012;0,8;919,1375;9,816667;11,520833;89,416667;2,666667
31/07/2012;4,4;922,344444;10,861111;null;85,555556;2,35
01/08/2012;null;null;null;null;64,642857;null
02/08/2012;0;916,979167;11,116667;17,004167;71,208333;1,591667
03/08/2012;0;915,320833;10,045833;17,370833;64,791667;1,833333
04/08/2012;0;915,85;10,0125;18,729167;60,541667;2,0375
05/08/2012;0,2;916,120833;11,8;17;72,041667;1,35
06/08/2012;0;916,270833;9,491667;14,279167;75,625;1,654167
07/08/2012;0;916,495833;5,991667;13,2375;66,458333;1,745833
08/08/2012;0;918,479167;10,320833;14,775;76,166667;2,325
09/08/2012;0;917,016667;10,1875;16,7875;69,916667;1,429167
10/08/2012;0;916,304167;9,358333;18,129167;61,916667;1,033333
11/08/2012;0;915,829167;8,291667;16,995833;59,166667;1,358333
12/08/2012;0;916,616667;9,729167;17,979167;62,375;1,891667
13/08/2012;0;920,0625;9,0625;16,445833;63,666667;2,008333
14/08/2012;0;919,520833;9,591667;14,504167;73,958333;1,575
15/08/2012;0;918,829167;12,1375;16,9125;74,666667;2,55
16/08/2012;0;918,620833;12,195833;17,145833;75,541667;2,041667
17/08/2012;0;919,583333;13,070833;16,9;79,291667;2,35
18/08/2012;0;919,983333;11,6375;16,85;73,125;2,270833
19/08/2012;0;920,7;11,566667;17,1125;72,083333;2,204167
20/08/2012;0;919,625;11,220833;16,879167;72,166667;1,941667
21/08/2012;0;918,883333;11,4375;18,8875;66,416667;2,0375
22/08/2012;0,2;919,483333;8,470833;19,266667;56,625;1,65
23/08/2012;0;919,325;9,216667;16,333333;64,833333;1,895833
24/08/2012;0;918,6375;10,391667;16,604167;71,083333;1,766667
25/08/2012;0,2;917,604167;11,379167;17,704167;72,25;1,6875
26/08/2012;0,2;918,683333;10,845833;14,4125;80,166667;2,8125
27/08/2012;0,2;917,879167;11,270833;13,404167;87,375;1,4875
28/08/2012;6,8;918,029167;10,954167;12,425;90,958333;1,2875
29/08/2012;21,6;916,371429;10,366667;null;83;1,428571
30/08/2012;null;918,2125;9,4375;13,654167;76,625;2,179167
31/08/2012;0;916,916667;8,258333;14,775;69,541667;1,45
01/09/2012;0,2;915,145833;9,7875;17,229167;66,583333;0,841667
02/09/2012;0;915,616667;10,545833;18,841667;63,333333;0,929167
03/09/2012;0;919,533333;11,345833;14,891667;79,791667;2,045833
04/09/2012;1,8;921,1375;9,129167;12,025;83,166667;2,895833
05/09/2012;0,2;917,470833;9,725;16,408333;68,291667;1,35
06/09/2012;0;915,025;12;18,645833;69,416667;1,254167
07/09/2012;0;915,391667;12,933333;18,6375;74,25;1,883333
08/09/2012;0,2;914,595833;11,666667;21,845833;60,166667;2,1125
09/09/2012;0;915,3;12,2125;21,895833;58;1,604167
10/09/2012;0;913,4;13,4;19,316667;72,916667;2,5375
11/09/2012;9,8;911,095833;13,970833;18,795833;75,291667;2,008333
12/09/2012;0;912,125;14,079167;18,641667;76,041667;1,808333
13/09/2012;0;914,5;13,504167;17,5;78,333333;2,445833
14/09/2012;0;916,741667;12,083333;16,683333;75,25;2,7625
15/09/2012;0;915,258333;11,475;18,283333;66,958333;2,066667
16/09/2012;0;913,275;13,058333;20,170833;70,125;2,141667
17/09/2012;0;912,05;13;22,6875;58,166667;2,020833
18/09/2012;0;908,858333;14,475;22,945833;61,708333;2,579167
19/09/2012;0;905,1125;12,845833;22,716667;54,333333;4,775
20/09/2012;2,6;907,829167;6,379167;16,170833;57,166667;3,5625
21/09/2012;32,8;908,058333;11,833333;14,6375;84,25;2,245833
22/09/2012;1,4;914,975;6,775;13,995833;67,75;1,370833
23/09/2012;0;917,016667;7,8875;12,704167;73,5;2,441667
24/09/2012;0;913,391667;11,304167;15,9125;75,541667;2,0625
25/09/2012;1,8;911,408333;14,145833;16,545833;86,25;1,345833
26/09/2012;null;918,184211;2,236842;null;59,894737;2,873684
27/09/2012;null;921,731579;5,184211;null;73,736842;3,373684
28/09/2012;0;921,179167;6,95;11,220833;75,416667;3,683333
29/09/2012;0,4;919,6;8,1125;13,245833;72,208333;3,104167
30/09/2012;0;915,341667;9,941667;15,283333;72,041667;2,5
01/10/2012;0;912,425;11,2875;16,5;75,5;2,245833
02/10/2012;11,2;911,820833;13,429167;19,204167;73,083333;1,566667
03/10/2012;0;913,245833;14,8125;18,8;78,708333;1,779167
04/10/2012;0;913,8625;14,420833;17,9;80,333333;1,283333
05/10/2012;0,4;912,691667;15,3625;19,954167;76,458333;1,470833
06/10/2012;0;912,725;15,2875;21,9625;70,083333;2,225
07/10/2012;0;914,125;14,433333;22,316667;65,833333;1,891667
08/10/2012;0;914,6625;13,466667;19,604167;70,25;1,741667
09/10/2012;0;910,733333;10,6125;21,245833;56,875;1,979167
10/10/2012;0;908,3375;13,2875;21,083333;61,666667;1,704167
11/10/2012;15,6;912,395833;13,291667;14,845833;90,416667;2,9
12/10/2012;2,8;916,566667;11,220833;13,454167;86,583333;3,183333
13/10/2012;1,2;918,229167;10;12,975;82,708333;3,045833
14/10/2012;0,6;916,8;10,05;12,445833;85,541667;2,540909
15/10/2012;null;913,145;9,705;null;69,05;null
16/10/2012;0;910,529167;11,225;17,070833;70,708333;1,795833
17/10/2012;0;908,604167;11,495833;20,9625;58,875;2,779167
18/10/2012;0;910,620833;6,979167;19,325;49,583333;2,195833
19/10/2012;0;912,354167;11,95;15,941667;77,666667;2,870833
20/10/2012;5,2;910,7;14,25;18,383333;78;2,041667
21/10/2012;0;908,058333;14,870833;20,9625;70,625;2,033333
22/10/2012;0,4;903,870833;15,933333;22,966667;67,041667;2,75
23/10/2012;46,6;904,5625;15,295652;17,679167;86,086957;3,3875
24/10/2012;16;909,579167;11,116667;18,583333;64,041667;2,1125
25/10/2012;3,4;911,954167;13,991667;16,620833;84,625;2,079167
26/10/2012;6,8;913,120833;14,845833;16,920833;87,791667;1,920833
27/10/2012;27;911,820833;14,766667;22,533333;66,333333;1,4125
28/10/2012;0;912,733333;15,1375;21,270833;68,541667;2,166667
29/10/2012;0;910,8875;15,879167;23,975;63,958333;1,795833
30/10/2012;0;908,720833;16,416667;25,0875;64,166667;2,8375
31/10/2012;0;907,4625;14,2625;23,816667;59,583333;1,925
01/11/2012;10,6;908,745833;15,375;18,891667;80,666667;2,004167
02/11/2012;0;910,920833;13,270833;17,620833;76,375;2,379167
03/11/2012;0;910,845833;13,179167;17,65;76,125;2,304167
04/11/2012;0;909,945833;13,3375;19,129167;70,958333;1,333333
05/11/2012;1;910,125;14,095833;20,145833;70,666667;2,0625
06/11/2012;0;911,2375;13,783333;19,633333;70,166667;2,404167
07/11/2012;0;912,104167;13,058333;19,283333;68,916667;2,6375
08/11/2012;0;910,275;15,2875;19,883333;75,458333;2,991667
09/11/2012;3,2;907,116667;16,925;18,4875;90,625;2,470833
10/11/2012;17;906,3125;17,329167;20,891667;81,041667;1,683333
11/11/2012;0;908,1375;17,179167;23,0125;72,083333;1,758333
12/11/2012;0,2;910,291667;16,129167;19,745833;79,958333;2,5625
13/11/2012;2,2;911,233333;11,695833;15,075;80,375;3,091667
14/11/2012;0;911,879167;9,958333;15,175;71,916667;2,566667
15/11/2012;0;910,254167;10,204167;15,975;69,416667;2,125
16/11/2012;0;911,470833;11,45;16,525;72,75;2,3375
17/11/2012;0;914,820833;10,1875;16,7;67,291667;2,441667
18/11/2012;0;914,9;10,491667;16,933333;67,791667;2,466667
19/11/2012;0;912,075;11,1;19,245833;63;1,8
20/11/2012;0;909,708333;13,833333;21,779167;65,25;2,345833
21/11/2012;0;911,5875;13,129167;20,454167;64,791667;2,3
22/11/2012;0;911,566667;14,104167;21,425;65,125;2,35
23/11/2012;0;908,545833;13,333333;23,820833;59,166667;2,329167
24/11/2012;1,4;907,541667;18,033333;21,066667;83,166667;1,8125
25/11/2012;12;912,1875;11,429167;15,095833;78,75;3,404167
26/11/2012;0;913,4625;11,245833;15,295833;77,166667;2,25
27/11/2012;0,6;908,816667;13,916667;19,204167;73,583333;1,441667
28/11/2012;14,2;906,525;13,15;21,8375;62,916667;2,15
29/11/2012;0;910,5125;14,125;21,183333;66,875;2,4875
30/11/2012;0;913,270833;13,891667;18,591667;74,291667;2,929167
01/12/2012;0;911,575;14,9875;20,754167;71,625;1,695833
02/12/2012;14;909,870833;17,145833;20,358333;83,083333;2,175
03/12/2012;36,6;910,958333;16,025;21,0625;74,458333;1,695833
04/12/2012;0;911,8125;15,054167;23,004167;65;1,85
05/12/2012;0;910,666667;16,695833;23,995833;67,166667;2,066667
06/12/2012;4,6;908,266667;17,175;23,808333;68,625;2,075
07/12/2012;0,2;907,8375;17,870833;25,1125;65,125;2,729167
08/12/2012;0,4;910,4;18,3375;22,85;76,541667;1,9125
09/12/2012;20,6;911,245833;17,358333;20,25;84;1,654167
10/12/2012;0;907,7;16,825;23,208333;69,791667;2,020833
11/12/2012;0;905,179167;16,9125;23,45;67,208333;3,325
12/12/2012;7,4;907,283333;16,591667;22,204167;72,958333;1,745833
13/12/2012;1,6;907,079167;16,983333;23,666667;68,625;2,55
14/12/2012;0,2;908,3875;15,995833;18,5875;85,083333;2,516667
15/12/2012;2,6;907,879167;17,020833;19,4625;86,166667;1,154167
16/12/2012;5,4;906,6125;17,7125;22,133333;77,166667;1,7
17/12/2012;2,6;906,083333;16,870833;23,6;68,541667;3,3375
18/12/2012;23;908,625;16,158333;22,270833;70,333333;1,475
19/12/2012;0;908,633333;17,591667;23,145833;72,791667;2,258333
20/12/2012;0,8;908,716667;17,445833;23,8125;69,625;2,925
21/12/2012;0;909,995833;17,141667;24,395833;66,583333;2,216667
22/12/2012;23,4;913,4625;16,329167;19,245833;83,541667;2,733333
23/12/2012;0;914,066667;15,004167;19,791667;75,041667;2,708333
24/12/2012;0;911,158333;16,6625;23,791667;67,291667;1,991667
25/12/2012;0;908,229167;18,5875;25,579167;67,5;2,916667
26/12/2012;0;909,5125;17,579167;24,870833;64,958333;3,079167
27/12/2012;7,6;910,6375;17,841667;20,741667;84;2,116667
28/12/2012;19,2;909,329167;16,641667;22,104167;73,708333;2,320833
29/12/2012;1,4;910,3625;17,341667;21,4375;78,625;1,320833
30/12/2012;61,4;911,508333;17,245833;21,391667;79,166667;1,654167
31/12/2012;1,4;911,379167;17,445833;21,608333;78;1,7875
01/01/2013;3;909,408333;16,091667;20,120833;78,125;2,725
02/01/2013;28,2;913,283333;14,6;16,883333;86,583333;2,55
03/01/2013;2,6;916,016667;13,0625;16,525;80,25;2,491667
04/01/2013;0;916,3875;14,679167;18,570833;78,375;2,454167
05/01/2013;0;913,716667;16,420833;22,079167;72,416667;2,3375
06/01/2013;0,2;910,291667;17,333333;22,870833;72,375;2,125
07/01/2013;4,6;908,216667;16,279167;22,845833;67,541667;2,279167
08/01/2013;0;908,045833;17,404167;22,2125;74,416667;3,0625
09/01/2013;2;910,3875;16,904167;21,283333;77,75;1,516667
10/01/2013;0,2;912,666667;12,804167;19,241667;67,5;3,170833
11/01/2013;0;911,1625;10,966667;17,4;67,375;2,866667
12/01/2013;0;910,25;11,833333;17,725;70,041667;2,4
13/01/2013;0,2;912,1375;15,2125;17,7;85,458333;1,795833
14/01/2013;4,4;911,479167;16,283333;19,466667;82,625;1,741667
15/01/2013;7;909,0125;14,570833;20,15;72,125;1,8
16/01/2013;0;907,4;14,775;19,104167;76,666667;1,954167
17/01/2013;11,2;907,945833;14,416667;20,545833;70,5;1,420833
18/01/2013;0;908,358333;15,529167;20,870833;73,833333;1,841667
19/01/2013;8;909,045833;15,320833;20,141667;75,25;1,720833
20/01/2013;0,6;911,6375;13,241667;18,5875;72,583333;2,804167
21/01/2013;1;915,004167;12,466667;17,883333;72,083333;3,158333
22/01/2013;0;916,070833;12,391667;17,270833;73,625;2,495833
23/01/2013;0;913,658333;14,25;19,091667;74,333333;2,320833
24/01/2013;0;909,141667;14,583333;22,154167;65,125;1,941667
25/01/2013;0;906,129167;17,375;23,416667;70,375;2,833333
26/01/2013;0;908,6;16,3375;20,791667;76,25;2,0375
27/01/2013;0;912,433333;14,625;19,425;74,416667;2,7625
28/01/2013;0;914,154167;14,2625;20,3875;69,541667;2,708333
29/01/2013;0;914,4875;14,058333;19,604167;71,208333;2,445833
30/01/2013;0;913,1875;14,6;19,229167;75,125;2,345833
31/01/2013;0;911,2;16,2875;21,433333;73,833333;2,370833
01/02/2013;0;910,841667;17,858333;23,329167;73,333333;2,05
02/02/2013;0;910,8875;17,791667;24,05;69,875;2,3375
03/02/2013;26,8;908,4625;17,216667;20,466667;82,458333;1,225
04/02/2013;15,4;909,2375;13,620833;17,454167;79,125;1,941667
05/02/2013;0;911,725;12,741667;18,375;70,416667;2,3375
06/02/2013;0;912,5125;13,775;19,179167;71,916667;2,841667
07/02/2013;0,4;912,5375;14,308333;17,504167;81,958333;2,341667
08/02/2013;28,2;911,495833;15,583333;18,616667;82,916667;1,420833
09/02/2013;9;912,483333;15,8;18,683333;83,375;1,108333
10/02/2013;6;911,429167;15,716667;18,991667;81,833333;1,445833
11/02/2013;9,2;909,766667;15,625;21,1125;71,5;2,191667
12/02/2013;10,8;908,8;16,154167;21,820833;70,75;2,275
13/02/2013;4,4;909,975;16,329167;21,691667;72,125;2,4125
14/02/2013;0,6;911,283333;16,654167;21,35;75,333333;1,845833
15/02/2013;7;910,170833;16,316667;22,175;71;2,933333
16/02/2013;0,2;908,570833;16,920833;22,408333;72,083333;2,216667
